t_s,mode,servo_deg,as5600_deg,multi_deg,MD,ML,MH,i2c_port
0.004,follow,9.580,19.160,0.000,0,1,1,1
0.061,follow,9.580,19.160,0.000,0,1,1,1
0.119,follow,9.580,19.160,0.000,0,1,1,1
0.176,follow,9.624,19.248,0.088,0,1,1,1
0.233,follow,9.624,19.248,0.088,0,1,1,1
0.291,follow,43.374,86.748,67.588,0,1,1,1
0.348,follow,9.624,19.248,0.088,0,1,1,1
0.405,follow,9.624,19.248,0.088,0,1,1,1
0.463,follow,9.624,19.248,0.088,0,1,1,1
0.520,follow,9.624,19.248,0.088,0,1,1,1
0.582,follow,9.624,19.248,0.088,0,1,1,1
0.639,follow,9.624,19.248,0.088,0,1,1,1
0.696,follow,9.624,19.248,0.088,0,1,1,1
0.754,follow,9.624,19.248,0.088,0,1,1,1
0.811,follow,9.624,19.248,0.088,0,1,1,1
0.868,follow,9.624,19.248,0.088,0,1,1,1
0.926,follow,9.624,19.248,0.088,0,1,1,1
0.983,follow,9.624,19.248,0.088,0,1,1,1
1.044,follow,9.624,19.248,0.088,0,1,1,1
1.102,follow,9.624,19.248,0.088,0,1,1,1
1.159,follow,9.668,19.336,0.176,0,1,1,1
1.216,follow,9.668,19.336,0.176,0,1,1,1
1.274,follow,9.668,19.336,0.176,0,1,1,1
1.331,follow,9.668,19.336,0.176,0,1,1,1
1.388,follow,9.668,19.336,0.176,0,1,1,1
1.446,follow,9.668,19.336,0.176,0,1,1,1
1.503,follow,9.668,19.336,0.176,0,1,1,1
1.565,follow,99.668,199.336,180.176,0,1,1,1
1.622,follow,9.668,19.336,0.176,0,1,1,1
1.679,follow,9.668,19.336,0.176,0,1,1,1
1.737,follow,9.668,19.336,0.176,0,1,1,1
1.794,follow,43.418,86.836,67.676,0,1,1,1
1.851,follow,43.418,86.836,67.676,0,1,1,1
1.909,follow,9.668,19.336,0.176,0,1,1,1
1.966,follow,9.668,19.336,0.176,0,1,1,1
2.023,follow,9.668,19.336,0.176,0,1,1,1
2.085,follow,9.668,19.336,0.176,0,1,1,1
2.142,follow,9.712,19.424,0.264,0,1,1,1
2.199,follow,9.712,19.424,0.264,0,1,1,1
2.257,follow,9.712,19.424,0.264,0,1,1,1
2.314,follow,9.712,19.424,0.264,0,1,1,1
2.371,follow,9.712,19.424,0.264,0,1,1,1
2.429,follow,9.712,19.424,0.264,0,1,1,1
2.486,follow,9.712,19.424,0.264,0,1,1,1
2.548,follow,9.712,19.424,0.264,0,1,1,1
2.605,follow,9.712,19.424,0.264,0,1,1,1
2.662,follow,9.712,19.424,0.264,0,1,1,1
2.720,follow,178.462,356.924,-22.236,0,1,1,1
2.777,follow,9.712,19.424,0.264,0,1,1,1
2.834,follow,9.712,19.424,0.264,0,1,1,1
2.892,follow,9.712,19.424,0.264,0,1,1,1
2.949,follow,9.712,19.424,0.264,0,1,1,1
3.006,follow,9.712,19.424,0.264,0,1,1,1
3.068,follow,9.712,19.424,0.264,0,1,1,1
3.125,follow,9.756,19.512,0.352,0,1,1,1
3.182,follow,9.756,19.512,0.352,0,1,1,1
3.240,follow,9.756,19.512,0.352,0,1,1,1
3.297,follow,9.756,19.512,0.352,0,1,1,1
3.354,follow,9.756,19.512,0.352,0,1,1,1
3.412,follow,43.506,87.012,67.852,0,1,1,1
3.469,follow,77.256,154.512,135.352,0,1,1,1
3.526,follow,43.506,87.012,67.852,0,1,1,1
3.584,follow,9.756,19.512,0.352,0,1,1,1
3.641,follow,9.756,19.512,0.352,0,1,1,1
3.698,follow,9.756,19.512,0.352,0,1,1,1
3.756,follow,9.756,19.512,0.352,0,1,1,1
3.813,follow,9.756,19.512,0.352,0,1,1,1
3.870,follow,9.756,19.512,0.352,0,1,1,1
3.928,follow,9.756,19.512,0.352,0,1,1,1
3.985,follow,9.756,19.512,0.352,0,1,1,1
4.047,follow,43.506,87.012,67.852,0,1,1,1
4.104,follow,9.756,19.512,0.352,0,1,1,1
4.161,follow,9.800,19.600,0.439,0,1,1,1
4.219,follow,9.800,19.600,0.439,0,1,1,1
4.276,follow,9.800,19.600,0.439,0,1,1,1
4.333,follow,9.800,19.600,0.439,0,1,1,1
4.391,follow,99.800,199.600,180.439,0,1,1,1
4.448,follow,9.800,19.600,0.439,0,1,1,1
4.505,follow,9.800,19.600,0.439,0,1,1,1
4.567,follow,9.800,19.600,0.439,0,1,1,1
4.624,follow,9.800,19.600,0.439,0,1,1,1
4.681,follow,9.800,19.600,0.439,0,1,1,1
4.739,follow,9.800,19.600,0.439,0,1,1,1
4.796,follow,9.800,19.600,0.439,0,1,1,1
4.853,follow,9.800,19.600,0.439,0,1,1,1
4.911,follow,9.800,19.600,0.439,0,1,1,1
4.968,follow,9.800,19.600,0.439,0,1,1,1
5.026,follow,9.800,19.600,0.439,0,1,1,1
5.083,follow,9.800,19.600,0.439,0,1,1,1
5.140,follow,9.844,19.688,0.527,0,1,1,1
5.198,follow,9.844,19.688,0.527,0,1,1,1
5.255,follow,9.844,19.688,0.527,0,1,1,1
5.312,follow,9.844,19.688,0.527,0,1,1,1
5.370,follow,9.844,19.688,0.527,0,1,1,1
5.427,follow,9.844,19.688,0.527,0,1,1,1
5.484,follow,9.844,19.688,0.527,0,1,1,1
5.546,follow,9.844,19.688,0.527,1,0,0,1
5.603,follow,9.844,19.688,0.527,1,0,0,1
5.660,follow,9.844,19.688,0.527,1,0,0,1
5.718,follow,9.844,19.688,0.527,1,0,0,1
5.775,follow,9.844,19.688,0.527,1,0,0,1
5.832,follow,9.844,19.688,0.527,1,0,0,1
5.890,follow,9.844,19.688,0.527,1,0,0,1
5.947,follow,9.844,19.688,0.527,1,0,0,1
6.004,follow,9.844,19.688,0.527,1,0,0,1
6.066,follow,9.844,19.688,0.527,1,0,0,1
6.123,follow,9.844,19.688,0.527,1,0,0,1
6.180,follow,9.888,19.775,0.615,1,0,0,1
6.238,follow,9.888,19.775,0.615,1,0,0,1
6.295,follow,9.888,19.775,0.615,1,0,0,1
6.353,follow,9.888,19.775,0.615,1,0,0,1
6.410,follow,9.888,19.775,0.615,1,0,0,1
6.467,follow,43.638,87.275,68.115,1,0,0,1
6.525,follow,9.888,19.775,0.615,1,0,0,1
6.586,follow,43.638,87.275,68.115,1,0,0,1
6.643,follow,43.638,87.275,68.115,1,0,0,1
6.701,follow,9.888,19.775,0.615,1,0,0,1
6.758,follow,9.888,19.775,0.615,1,0,0,1
6.815,follow,9.888,19.775,0.615,1,0,0,1
6.873,follow,9.888,19.775,0.615,1,0,0,1
6.930,follow,21.138,42.275,23.115,1,0,0,1
6.988,follow,9.888,19.775,0.615,1,0,0,1
7.049,follow,178.638,357.275,-21.885,1,0,0,1
7.106,follow,9.888,19.775,0.615,1,0,0,1
7.164,follow,178.682,357.363,-21.797,1,0,0,1
7.221,follow,9.932,19.863,0.703,1,0,0,1
7.278,follow,9.932,19.863,0.703,1,0,0,1
7.335,follow,9.932,19.863,0.703,1,0,0,1
7.393,follow,9.932,19.863,0.703,1,0,0,1
7.450,follow,122.432,244.863,-134.297,1,0,0,1
7.508,follow,9.932,19.863,0.703,1,0,0,1
7.569,follow,9.932,19.863,0.703,1,0,0,1
7.626,follow,9.932,19.863,0.703,1,0,0,1
7.684,follow,9.932,19.863,0.703,1,0,0,1
7.741,follow,9.932,19.863,0.703,1,0,0,1
7.798,follow,9.932,19.863,0.703,1,0,0,1
7.856,follow,9.932,19.863,0.703,1,0,0,1
