t_s,mode,servo_deg,as5600_deg,multi_deg,MD,ML,MH,i2c_port
0.004,sweep,90.253,14.766,0.000,1,0,1,1
0.061,sweep,93.846,82.266,67.500,1,0,1,1
0.119,sweep,97.386,149.766,135.000,1,0,1,1
0.176,sweep,100.804,14.766,0.000,1,0,1,1
0.233,sweep,104.080,14.854,0.088,1,0,1,1
0.291,sweep,107.157,14.854,0.088,1,0,1,1
0.348,sweep,109.981,14.854,0.088,1,0,1,1
0.405,sweep,112.520,14.854,0.088,1,0,1,1
0.463,sweep,114.729,14.854,0.088,1,0,1,1
0.520,sweep,116.589,14.854,0.088,1,0,1,1
0.582,sweep,118.153,14.854,0.088,1,0,1,1
0.639,sweep,119.190,14.854,0.088,1,0,1,1
0.696,sweep,119.810,14.854,0.088,1,0,1,1
0.754,sweep,119.999,14.854,0.088,1,0,1,1
0.811,sweep,119.757,82.354,67.588,1,0,1,1
0.868,sweep,119.086,82.354,67.588,1,0,1,1
0.926,sweep,117.995,14.854,0.088,1,0,1,1
0.983,sweep,116.496,14.854,0.088,1,0,1,1
1.044,sweep,114.478,14.854,0.088,1,0,1,1
1.102,sweep,112.221,14.854,0.088,1,0,1,1
1.159,sweep,109.653,14.854,0.088,1,0,1,1
1.216,sweep,106.791,14.941,0.176,1,0,1,1
1.274,sweep,103.698,262.441,-112.324,1,0,1,1
1.331,sweep,100.397,14.941,0.176,1,0,1,1
1.388,sweep,96.947,14.941,0.176,1,0,1,1
1.446,sweep,93.399,14.941,0.176,1,0,1,1
1.503,sweep,89.804,352.441,-22.324,1,0,1,1
1.565,sweep,85.952,14.941,0.176,1,0,1,1
1.622,sweep,82.421,14.941,0.176,1,0,1,1
1.679,sweep,79.005,14.941,0.176,1,0,1,1
1.737,sweep,75.743,14.941,0.176,1,0,1,1
1.794,sweep,72.679,14.941,0.176,1,0,1,1
1.851,sweep,69.871,14.941,0.176,1,0,1,1
1.909,sweep,67.349,14.941,0.176,1,0,1,1
1.966,sweep,65.157,14.941,0.176,1,0,1,1
2.023,sweep,63.323,14.941,0.176,1,0,1,1
2.085,sweep,61.782,14.941,0.176,1,0,1,1
2.142,sweep,60.766,14.941,0.176,1,0,1,1
2.199,sweep,60.169,352.529,-22.236,1,0,1,1
2.257,sweep,60.003,82.529,67.764,1,0,1,1
2.314,sweep,60.270,15.029,0.264,1,0,1,1
2.371,sweep,60.965,352.529,-22.236,1,0,1,1
2.429,sweep,62.075,15.029,0.264,1,0,1,1
2.486,sweep,63.595,15.029,0.264,1,0,1,1
2.548,sweep,65.638,195.029,180.264,1,0,1,1
2.605,sweep,67.908,15.029,0.264,1,0,1,1
2.662,sweep,70.497,15.029,0.264,1,0,1,1
2.720,sweep,73.369,15.029,0.264,1,0,1,1
2.777,sweep,76.484,15.029,0.264,1,0,1,1
2.834,sweep,79.788,15.029,0.264,1,0,1,1
2.892,sweep,83.242,15.029,0.264,1,0,1,1
2.949,sweep,86.790,15.029,0.264,1,0,1,1
3.006,sweep,90.385,352.529,-22.236,1,0,1,1
3.068,sweep,94.234,15.029,0.264,1,0,1,1
3.125,sweep,97.765,15.029,0.264,1,0,1,1
3.182,sweep,101.179,15.029,0.264,1,0,1,1
