t_s,mode,servo_deg,as5600_deg,multi_deg,MD,ML,MH,i2c_port
0.150,follow,90.000,,,,,,1
0.326,follow,90.000,,,,,,1
0.501,follow,90.000,,,,,,1
0.826,follow,90.000,,,,,,1
1.002,follow,90.000,,,,,,1
1.327,follow,90.000,,,,,,1
1.502,follow,90.000,,,,,,1
1.828,follow,90.000,,,,,,1
2.003,follow,90.000,,,,,,1
2.329,follow,90.000,,,,,,1
2.504,follow,90.000,,,,,,1
2.829,follow,90.000,,,,,,1
3.005,follow,90.000,,,,,,1
3.330,follow,90.000,,,,,,1
3.505,follow,90.000,,,,,,1
3.831,follow,90.000,,,,,,1
4.006,follow,90.000,,,,,,1
4.331,follow,90.000,,,,,,1
4.507,follow,90.000,,,,,,1
4.832,follow,90.000,,,,,,1
5.007,follow,90.000,,,,,,1
5.333,follow,90.000,,,,,,1
5.508,follow,90.000,,,,,,1
5.834,follow,90.000,,,,,,1
6.009,follow,90.000,,,,,,1
6.334,follow,90.000,,,,,,1
6.510,follow,90.000,,,,,,1
6.835,follow,90.000,,,,,,1
7.010,follow,90.000,,,,,,1
7.336,follow,90.000,,,,,,1
7.511,follow,90.000,,,,,,1
7.836,follow,90.000,,,,,,1
8.012,follow,90.000,,,,,,1
8.337,follow,90.000,,,,,,1
